row;NCIt Code;NCIt PT;NCIt Definition;CTCAE PT;CTCAE 5.0 Definition;MedDRA Term;MedDRA Code;MedDRA TermType;MedDRA Version
1022;C144979;Grade 2 Retroperitoneal Hemorrhage, CTCAE;"Self-limited; intervention indicated";Grade 2 Retroperitoneal hemorrhage;"Self-limited; intervention indicated";Retroperitoneal hemorrhage;10038981;LLT;20,1
1023;C145601;Grade 3 Retroperitoneal Hemorrhage, CTCAE;"Transfusion indicated; invasive intervention indicated; hospitalization";Grade 3 Retroperitoneal hemorrhage;"Transfusion indicated; invasive intervention indicated; hospitalization";Retroperitoneal hemorrhage;10038981;LLT;20,1
1024;C146097;Grade 4 Retroperitoneal Hemorrhage, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Retroperitoneal hemorrhage;"Life-threatening consequences; urgent intervention indicated";Retroperitoneal hemorrhage;10038981;LLT;20,1
1025;C146532;Grade 5 Retroperitoneal Hemorrhage, CTCAE;Death;Grade 5 Retroperitoneal hemorrhage;Death;Retroperitoneal hemorrhage;10038981;LLT;20,1
1026;C143821;Salivary Duct Inflammation, CTCAE;A disorder characterized by inflammation of the salivary duct.;Salivary duct inflammation;A disorder characterized by inflammation of the salivary duct.;Salivary duct inflammation;10056681;LLT;20,1
1027;C144387;Grade 1 Salivary Duct Inflammation, CTCAE;"Slightly thickened saliva; slightly altered taste (e.g., metallic)";Grade 1 Salivary duct inflammation;"Slightly thickened saliva; slightly altered taste (e.g., metallic)";Salivary duct inflammation;10056681;LLT;20,1
1028;C144984;Grade 2 Salivary Duct Inflammation, CTCAE;"Thick, ropy, sticky saliva; markedly altered taste; alteration in diet indicated; secretion-induced symptoms; limiting instrumental ADL";Grade 2 Salivary duct inflammation;"Thick, ropy, sticky saliva; markedly altered taste; alteration in diet indicated; secretion-induced symptoms; limiting instrumental ADL";Salivary duct inflammation;10056681;LLT;20,1
1029;C145605;Grade 3 Salivary Duct Inflammation, CTCAE;"Acute salivary gland necrosis; severe secretion-induced symptoms (e.g., thick saliva/oral secretions or gagging); tube feeding or TPN indicated; limiting self care ADL";Grade 3 Salivary duct inflammation;"Acute salivary gland necrosis; severe secretion-induced symptoms (e.g., thick saliva/oral secretions or gagging); tube feeding or TPN indicated; limiting self care ADL";Salivary duct inflammation;10056681;LLT;20,1
1030;C146100;Grade 4 Salivary Duct Inflammation, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Salivary duct inflammation;"Life-threatening consequences; urgent intervention indicated";Salivary duct inflammation;10056681;LLT;20,1
1031;C146535;Grade 5 Salivary Duct Inflammation, CTCAE;Death;Grade 5 Salivary duct inflammation;Death;Salivary duct inflammation;10056681;LLT;20,1
1032;C57868;Salivary Gland Fistula, CTCAE;A disorder characterized by an abnormal communication between a salivary gland and another organ or anatomic site.;Salivary gland fistula;A disorder characterized by an abnormal communication between a salivary gland and another organ or anatomic site.;Salivary gland fistula;10039411;LLT;20,1
1033;C57237;Grade 1 Salivary Gland Fistula, CTCAE;Asymptomatic;Grade 1 Salivary gland fistula;Asymptomatic;Salivary gland fistula;10039411;LLT;20,1
1034;C57360;Grade 2 Salivary Gland Fistula, CTCAE;Symptomatic, invasive intervention not indicated;Grade 2 Salivary gland fistula;Symptomatic, invasive intervention not indicated;Salivary gland fistula;10039411;LLT;20,1
1035;C57496;Grade 3 Salivary Gland Fistula, CTCAE;Invasive intervention indicated;Grade 3 Salivary gland fistula;Invasive intervention indicated;Salivary gland fistula;10039411;LLT;20,1
1036;C57629;Grade 4 Salivary Gland Fistula, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Salivary gland fistula;"Life-threatening consequences; urgent intervention indicated";Salivary gland fistula;10039411;LLT;20,1
1037;C57760;Grade 5 Salivary Gland Fistula, CTCAE;Death;Grade 5 Salivary gland fistula;Death;Salivary gland fistula;10039411;LLT;20,1
1038;C143842;Small Intestinal Mucositis, CTCAE;A disorder characterized by ulceration or inflammation of the mucous membrane of the small intestine.;Small intestinal mucositis;A disorder characterized by ulceration or inflammation of the mucous membrane of the small intestine.;Small intestinal mucositis;10065710;LLT;20,1
1039;C144406;Grade 1 Small Intestinal Mucositis, CTCAE;"Asymptomatic or mild symptoms; intervention not indicated";Grade 1 Small intestinal mucositis;"Asymptomatic or mild symptoms; intervention not indicated";Small intestinal mucositis;10065710;LLT;20,1
1040;C145005;Grade 2 Small Intestinal Mucositis, CTCAE;"Symptomatic; medical intervention indicated; limiting instrumental ADL";Grade 2 Small intestinal mucositis;"Symptomatic; medical intervention indicated; limiting instrumental ADL";Small intestinal mucositis;10065710;LLT;20,1
1041;C145624;Grade 3 Small Intestinal Mucositis, CTCAE;"Severe pain; interfering with oral intake; tube feeding, TPN or hospitalization indicated; limiting self care ADL";Grade 3 Small intestinal mucositis;"Severe pain; interfering with oral intake; tube feeding, TPN or hospitalization indicated; limiting self care ADL";Small intestinal mucositis;10065710;LLT;20,1
1042;C146117;Grade 4 Small Intestinal Mucositis, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Small intestinal mucositis;"Life-threatening consequences; urgent intervention indicated";Small intestinal mucositis;10065710;LLT;20,1
1043;C146549;Grade 5 Small Intestinal Mucositis, CTCAE;Death;Grade 5 Small intestinal mucositis;Death;Small intestinal mucositis;10065710;LLT;20,1
1044;C143843;Small Intestinal Obstruction, CTCAE;A disorder characterized by blockage of the normal flow of the intestinal contents of the small intestine.;Small intestinal obstruction;A disorder characterized by blockage of the normal flow of the intestinal contents of the small intestine.;Small intestinal obstruction;10041101;LLT;20,1
1045;C144407;Grade 1 Small Intestinal Obstruction, CTCAE;"Asymptomatic; clinical or diagnostic observations only; intervention not indicated";Grade 1 Small intestinal obstruction;"Asymptomatic; clinical or diagnostic observations only; intervention not indicated";Small intestinal obstruction;10041101;LLT;20,1
1046;C145006;Grade 2 Small Intestinal Obstruction, CTCAE;"Symptomatic; altered GI function; limiting instrumental ADL";Grade 2 Small intestinal obstruction;"Symptomatic; altered GI function; limiting instrumental ADL";Small intestinal obstruction;10041101;LLT;20,1
1047;C145625;Grade 3 Small Intestinal Obstruction, CTCAE;"Hospitalization indicated; invasive intervention indicated; limiting self care ADL";Grade 3 Small intestinal obstruction;"Hospitalization indicated; invasive intervention indicated; limiting self care ADL";Small intestinal obstruction;10041101;LLT;20,1
1048;C146118;Grade 4 Small Intestinal Obstruction, CTCAE;"Life-threatening consequences; urgent operative intervention indicated";Grade 4 Small intestinal obstruction;"Life-threatening consequences; urgent operative intervention indicated";Small intestinal obstruction;10041101;LLT;20,1
1049;C146550;Grade 5 Small Intestinal Obstruction, CTCAE;Death;Grade 5 Small intestinal obstruction;Death;Small intestinal obstruction;10041101;LLT;20,1
1050;C146635;Small Intestinal Perforation, CTCAE 5.0;A disorder characterized by a rupture in the small intestine wall.;Small intestinal perforation;A disorder characterized by a rupture in the small intestine wall.;Small intestinal perforation;10041103;LLT;20,1
1051;C145007;Grade 2 Small Intestinal Perforation, CTCAE;Invasive intervention not indicated;Grade 2 Small intestinal perforation;Invasive intervention not indicated;Small intestinal perforation;10041103;LLT;20,1
1052;C145626;Grade 3 Small Intestinal Perforation, CTCAE;Invasive intervention indicated;Grade 3 Small intestinal perforation;Invasive intervention indicated;Small intestinal perforation;10041103;LLT;20,1
1053;C146119;Grade 4 Small Intestinal Perforation, CTCAE;"Life-threatening consequences; urgent operative intervention indicated";Grade 4 Small intestinal perforation;"Life-threatening consequences; urgent operative intervention indicated";Small intestinal perforation;10041103;LLT;20,1
1054;C146551;Grade 5 Small Intestinal Perforation, CTCAE;Death;Grade 5 Small intestinal perforation;Death;Small intestinal perforation;10041103;LLT;20,1
1055;C143844;Small Intestinal Stenosis, CTCAE;A disorder characterized by a narrowing of the lumen of the small intestine.;Small intestinal stenosis;A disorder characterized by a narrowing of the lumen of the small intestine.;Small intestinal stenosis;10062263;LLT;20,1
1056;C144408;Grade 1 Small Intestinal Stenosis, CTCAE;"Asymptomatic; clinical or diagnostic observations only; intervention not indicated";Grade 1 Small intestinal stenosis;"Asymptomatic; clinical or diagnostic observations only; intervention not indicated";Small intestinal stenosis;10062263;LLT;20,1
1057;C145008;Grade 2 Small Intestinal Stenosis, CTCAE;"Symptomatic; altered GI function";Grade 2 Small intestinal stenosis;"Symptomatic; altered GI function";Small intestinal stenosis;10062263;LLT;20,1
1058;C145627;Grade 3 Small Intestinal Stenosis, CTCAE;"Symptomatic and severely altered GI function; tube feeding, TPN or hospitalization indicated; non-emergent operative intervention indicated";Grade 3 Small intestinal stenosis;"Symptomatic and severely altered GI function; tube feeding, TPN or hospitalization indicated; non-emergent operative intervention indicated";Small intestinal stenosis;10062263;LLT;20,1
1059;C146120;Grade 4 Small Intestinal Stenosis, CTCAE;"Life-threatening consequences; urgent operative intervention indicated";Grade 4 Small intestinal stenosis;"Life-threatening consequences; urgent operative intervention indicated";Small intestinal stenosis;10062263;LLT;20,1
1060;C146552;Grade 5 Small Intestinal Stenosis, CTCAE;Death;Grade 5 Small intestinal stenosis;Death;Small intestinal stenosis;10062263;LLT;20,1
1061;C143846;Small Intestine Ulcer, CTCAE;A disorder characterized by a circumscribed, erosive lesion on the mucosal surface of the small intestine.;Small intestine ulcer;A disorder characterized by a circumscribed, erosive lesion on the mucosal surface of the small intestine.;Small intestine ulcer;10041133;LLT;20,1
1062;C144409;Grade 1 Small Intestine Ulcer, CTCAE;"Asymptomatic; clinical or diagnostic observations only; intervention not indicated";Grade 1 Small intestine ulcer;"Asymptomatic; clinical or diagnostic observations only; intervention not indicated";Small intestine ulcer;10041133;LLT;20,1
1063;C145010;Grade 2 Small Intestine Ulcer, CTCAE;"Symptomatic; altered GI function; limiting instrumental ADL";Grade 2 Small intestine ulcer;"Symptomatic; altered GI function; limiting instrumental ADL";Small intestine ulcer;10041133;LLT;20,1
1064;C145629;Grade 3 Small Intestine Ulcer, CTCAE;"Severely altered GI function; TPN indicated; elective invasive intervention indicated; limiting self care ADL";Grade 3 Small intestine ulcer;"Severely altered GI function; TPN indicated; elective invasive intervention indicated; limiting self care ADL";Small intestine ulcer;10041133;LLT;20,1
1065;C146122;Grade 4 Small Intestine Ulcer, CTCAE;"Life-threatening consequences; urgent operative intervention indicated";Grade 4 Small intestine ulcer;"Life-threatening consequences; urgent operative intervention indicated";Small intestine ulcer;10041133;LLT;20,1
1066;C146554;Grade 5 Small Intestine Ulcer, CTCAE;Death;Grade 5 Small intestine ulcer;Death;Small intestine ulcer;10041133;LLT;20,1
1067;C146774;Stomach Pain, CTCAE 5.0;A disorder characterized by a sensation of marked discomfort in the stomach.;Stomach pain;A disorder characterized by a sensation of marked discomfort in the stomach.;Stomach pain;10042112;LLT;20,1
1068;C56231;Grade 1 Stomach Pain, CTCAE;Mild pain;Grade 1 Stomach pain;Mild pain;Stomach pain;10042112;LLT;20,1
1069;C56232;Grade 2 Stomach Pain, CTCAE;"Moderate pain; limiting instrumental ADL";Grade 2 Stomach pain;"Moderate pain; limiting instrumental ADL";Stomach pain;10042112;LLT;20,1
1070;C56233;Grade 3 Stomach Pain, CTCAE;"Severe pain; limiting self care ADL";Grade 3 Stomach pain;"Severe pain; limiting self care ADL";Stomach pain;10042112;LLT;20,1
1071;C143876;Tooth Development Disorder, CTCAE;A disorder characterized by a pathological process of the teeth occurring during tooth development.;Tooth development disorder;A disorder characterized by a pathological process of the teeth occurring during tooth development.;Tooth development disorder;10044030;LLT;20,1
1072;C144434;Grade 1 Tooth Development Disorder, CTCAE;"Asymptomatic; hypoplasia of tooth or enamel";Grade 1 Tooth development disorder;"Asymptomatic; hypoplasia of tooth or enamel";Tooth development disorder;10044030;LLT;20,1
1073;C145038;Grade 2 Tooth Development Disorder, CTCAE;Impairment correctable with oral surgery;Grade 2 Tooth development disorder;Impairment correctable with oral surgery;Tooth development disorder;10044030;LLT;20,1
1074;C145660;Grade 3 Tooth Development Disorder, CTCAE;"Maldevelopment with impairment not surgically correctable; limiting self care ADL";Grade 3 Tooth development disorder;"Maldevelopment with impairment not surgically correctable; limiting self care ADL";Tooth development disorder;10044030;LLT;20,1
1075;C143877;Tooth Discoloration, CTCAE;A disorder characterized by a change in tooth hue or tint.;Tooth discoloration;A disorder characterized by a change in tooth hue or tint.;Tooth discoloration;10044031;LLT;20,1
1076;C144435;Grade 1 Tooth Discoloration, CTCAE;Surface stains;Grade 1 Tooth discoloration;Surface stains;Tooth discoloration;10044031;LLT;20,1
1077;C143879;Toothache, CTCAE;A disorder characterized by a sensation of marked discomfort in the tooth.;Toothache;A disorder characterized by a sensation of marked discomfort in the tooth.;Toothache;10044055;LLT;20,1
1078;C144436;Grade 1 Toothache, CTCAE;Mild pain;Grade 1 Toothache;Mild pain;Toothache;10044055;LLT;20,1
1079;C145040;Grade 2 Toothache, CTCAE;"Moderate pain; limiting instrumental ADL";Grade 2 Toothache;"Moderate pain; limiting instrumental ADL";Toothache;10044055;LLT;20,1
1080;C145662;Grade 3 Toothache, CTCAE;"Severe pain; limiting self care ADL";Grade 3 Toothache;"Severe pain; limiting self care ADL";Toothache;10044055;LLT;20,1
1081;C146730;Typhlitis, CTCAE 5.0;A disorder characterized by necrotizing enterocolitis in neutropenic patients.;Typhlitis;A disorder characterized by necrotizing enterocolitis in neutropenic patients.;Typhlitis;10045271;LLT;20,1
1082;C57523;Grade 3 Typhlitis, CTCAE;"Symptomatic (e.g., abdominal pain, fever, change in bowel habits with ileus); peritoneal signs";Grade 3 Typhlitis;"Symptomatic (e.g., abdominal pain, fever, change in bowel habits with ileus); peritoneal signs";Typhlitis;10045271;LLT;20,1
1083;C57655;Grade 4 Typhlitis, CTCAE;"Life-threatening consequences; urgent operative intervention indicated";Grade 4 Typhlitis;"Life-threatening consequences; urgent operative intervention indicated";Typhlitis;10045271;LLT;20,1
1084;C57785;Grade 5 Typhlitis, CTCAE;Death;Grade 5 Typhlitis;Death;Typhlitis;10045271;LLT;20,1
1085;C143895;Upper Gastrointestinal Hemorrhage, CTCAE;A disorder characterized by bleeding from the upper gastrointestinal tract (oral cavity, pharynx, esophagus, and stomach).;Upper gastrointestinal hemorrhage;A disorder characterized by bleeding from the upper gastrointestinal tract (oral cavity, pharynx, esophagus, and stomach).;Upper gastrointestinal hemorrhage;10055356;LLT;20,1
1086;C144449;Grade 1 Upper Gastrointestinal Hemorrhage, CTCAE;"Mild symptoms; intervention not indicated";Grade 1 Upper gastrointestinal hemorrhage;"Mild symptoms; intervention not indicated";Upper gastrointestinal hemorrhage;10055356;LLT;20,1
1087;C145054;Grade 2 Upper Gastrointestinal Hemorrhage, CTCAE;"Moderate symptoms; intervention indicated";Grade 2 Upper gastrointestinal hemorrhage;"Moderate symptoms; intervention indicated";Upper gastrointestinal hemorrhage;10055356;LLT;20,1
1088;C145676;Grade 3 Upper Gastrointestinal Hemorrhage, CTCAE;"Transfusion indicated; invasive intervention indicated; hospitalization";Grade 3 Upper gastrointestinal hemorrhage;"Transfusion indicated; invasive intervention indicated; hospitalization";Upper gastrointestinal hemorrhage;10055356;LLT;20,1
1089;C146160;Grade 4 Upper Gastrointestinal Hemorrhage, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Upper gastrointestinal hemorrhage;"Life-threatening consequences; urgent intervention indicated";Upper gastrointestinal hemorrhage;10055356;LLT;20,1
1090;C146590;Grade 5 Upper Gastrointestinal Hemorrhage, CTCAE;Death;Grade 5 Upper gastrointestinal hemorrhage;Death;Upper gastrointestinal hemorrhage;10055356;LLT;20,1
1091;C143938;Visceral Arterial Ischemia, CTCAE;A disorder characterized by a decrease in blood supply due to narrowing or blockage of a visceral (mesenteric) artery.;Visceral arterial ischemia;A disorder characterized by a decrease in blood supply due to narrowing or blockage of a visceral (mesenteric) artery.;Visceral arterial ischemia;10054692;LLT;20,1
1092;C145098;Grade 2 Visceral Arterial Ischemia, CTCAE;Brief (<24 hrs) episode of ischemia managed medically and without permanent deficit;Grade 2 Visceral arterial ischemia;Brief (<24 hrs) episode of ischemia managed medically and without permanent deficit;Visceral arterial ischemia;10054692;LLT;20,1
1093;C145718;Grade 3 Visceral Arterial Ischemia, CTCAE;Prolonged (>=24 hrs) or recurring symptoms and/or invasive intervention indicated;Grade 3 Visceral arterial ischemia;Prolonged (>=24 hrs) or recurring symptoms and/or invasive intervention indicated;Visceral arterial ischemia;10054692;LLT;20,1
1094;C146192;Grade 4 Visceral Arterial Ischemia, CTCAE;"Life-threatening consequences; evidence of end organ damage; urgent operative intervention indicated";Grade 4 Visceral arterial ischemia;"Life-threatening consequences; evidence of end organ damage; urgent operative intervention indicated";Visceral arterial ischemia;10054692;LLT;20,1
1095;C146620;Grade 5 Visceral Arterial Ischemia, CTCAE;Death;Grade 5 Visceral arterial ischemia;Death;Visceral arterial ischemia;10054692;LLT;20,1
1096;C57896;Vomiting, CTCAE;A disorder characterized by the reflexive act of ejecting the contents of the stomach through the mouth.;Vomiting;A disorder characterized by the reflexive act of ejecting the contents of the stomach through the mouth.;Vomiting;10047700;LLT;20,1
1097;C57263;Grade 1 Vomiting, CTCAE;Intervention not indicated;Grade 1 Vomiting;Intervention not indicated;Vomiting;10047700;LLT;20,1
1098;C57386;Grade 2 Vomiting, CTCAE;"Outpatient IV hydration; medical intervention indicated";Grade 2 Vomiting;"Outpatient IV hydration; medical intervention indicated";Vomiting;10047700;LLT;20,1
1099;C57524;Grade 3 Vomiting, CTCAE;Tube feeding, TPN, or hospitalization indicated;Grade 3 Vomiting;Tube feeding, TPN, or hospitalization indicated;Vomiting;10047700;LLT;20,1
1100;C57656;Grade 4 Vomiting, CTCAE;Life-threatening consequences;Grade 4 Vomiting;Life-threatening consequences;Vomiting;10047700;LLT;20,1
1101;C57786;Grade 5 Vomiting, CTCAE;Death;Grade 5 Vomiting;Death;Vomiting;10047700;LLT;20,1
1102;C143169;General Disorders and Administration Site Conditions, CTCAE;;;;;;;
1103;C143366;Chills, CTCAE;A disorder characterized by a sensation of cold that often marks a physiologic response to sweating after a fever.;Chills;A disorder characterized by a sensation of cold that often marks a physiologic response to sweating after a fever.;Chills;10008531;LLT;20,1
1104;C144029;Grade 1 Chills, CTCAE;"Mild sensation of cold; shivering; chattering of teeth";Grade 1 Chills;"Mild sensation of cold; shivering; chattering of teeth";Chills;10008531;LLT;20,1
1105;C144577;Grade 2 Chills, CTCAE;"Moderate tremor of the entire body; narcotics indicated";Grade 2 Chills;"Moderate tremor of the entire body; narcotics indicated";Chills;10008531;LLT;20,1
1106;C145194;Grade 3 Chills, CTCAE;Severe or prolonged, not responsive to narcotics;Grade 3 Chills;Severe or prolonged, not responsive to narcotics;Chills;10008531;LLT;20,1
1107;C143395;Death Neonatal, CTCAE;Newborn death occurring during the first 28 days after birth.;Death neonatal;Newborn death occurring during the first 28 days after birth.;Death neonatal;10011912;LLT;20,1
1108;C145813;Grade 4 Death Neonatal, CTCAE;Neonatal loss of life;Grade 4 Death neonatal;Neonatal loss of life;Death neonatal;10011912;LLT;20,1
1109;C143396;Death NOS, CTCAE;Death that cannot be attributed to a CTCAE term associated with Grade 5.;Death NOS;Death that cannot be attributed to a CTCAE term associated with Grade 5.;Death NOS;10011914;LLT;20,1
1110;C55278;Grade 5 Death NOS, CTCAE;Death;Grade 5 Death NOS;Death;Death NOS;10011914;LLT;20,1
1111;C143201;Disease Progression, CTCAE;Death due to disease progression that cannot be attributed to a CTCAE term associated with Grade 5.;Disease progression;Death due to disease progression that cannot be attributed to a CTCAE term associated with Grade 5.;Disease progression;10061818;LLT;20,1
1112;C146279;Grade 5 Disease Progression, CTCAE;Death;Grade 5 Disease progression;Death;Disease progression;10061818;LLT;20,1
1113;C143432;Edema Face, CTCAE;A disorder characterized by swelling due to excessive fluid accumulation in facial tissues.;Edema face;A disorder characterized by swelling due to excessive fluid accumulation in facial tissues.;Edema face;10014222;LLT;20,1
1114;C144071;Grade 1 Edema Face, CTCAE;Localized facial edema;Grade 1 Edema face;Localized facial edema;Edema face;10014222;LLT;20,1
1115;C144626;Grade 2 Edema Face, CTCAE;"Moderate localized facial edema; limiting instrumental ADL";Grade 2 Edema face;"Moderate localized facial edema; limiting instrumental ADL";Edema face;10014222;LLT;20,1
1116;C145243;Grade 3 Edema Face, CTCAE;"Severe swelling; limiting self care ADL";Grade 3 Edema face;"Severe swelling; limiting self care ADL";Edema face;10014222;LLT;20,1
1117;C143433;Edema Limbs, CTCAE;A disorder characterized by swelling due to excessive fluid accumulation in the upper or lower extremities.;Edema limbs;A disorder characterized by swelling due to excessive fluid accumulation in the upper or lower extremities.;Edema limbs;10050068;LLT;20,1
1118;C144072;Grade 1 Edema Limbs, CTCAE;"5-10% inter-limb discrepancy in volume or circumference at point of greatest visible difference; swelling or obscuration of anatomic architecture on close inspection";Grade 1 Edema limbs;"5-10% inter-limb discrepancy in volume or circumference at point of greatest visible difference; swelling or obscuration of anatomic architecture on close inspection";Edema limbs;10050068;LLT;20,1
1119;C144627;Grade 2 Edema Limbs, CTCAE;">10-30% inter-limb discrepancy in volume or circumference at point of greatest visible difference; readily apparent obscuration of anatomic architecture; obliteration of skin folds; readily apparent deviation from normal anatomic contour; limiting instrumental ADL";Grade 2 Edema limbs;">10-30% inter-limb discrepancy in volume or circumference at point of greatest visible difference; readily apparent obscuration of anatomic architecture; obliteration of skin folds; readily apparent deviation from normal anatomic contour; limiting instrumental ADL";Edema limbs;10050068;LLT;20,1
1120;C145244;Grade 3 Edema Limbs, CTCAE;">30% inter-limb discrepancy in volume; gross deviation from normal anatomic contour; limiting self care ADL";Grade 3 Edema limbs;">30% inter-limb discrepancy in volume; gross deviation from normal anatomic contour; limiting self care ADL";Edema limbs;10050068;LLT;20,1
1121;C143434;Edema Trunk, CTCAE;A disorder characterized by swelling due to excessive fluid accumulation in the trunk area.;Edema trunk;A disorder characterized by swelling due to excessive fluid accumulation in the trunk area.;Edema trunk;10058720;LLT;20,1
1122;C144073;Grade 1 Edema Trunk, CTCAE;Swelling or obscuration of anatomic architecture on close inspection;Grade 1 Edema trunk;Swelling or obscuration of anatomic architecture on close inspection;Edema trunk;10058720;LLT;20,1
1123;C144628;Grade 2 Edema Trunk, CTCAE;"Readily apparent obscuration of anatomic architecture; obliteration of skin folds; readily apparent deviation from normal anatomic contour; limiting instrumental ADL";Grade 2 Edema trunk;"Readily apparent obscuration of anatomic architecture; obliteration of skin folds; readily apparent deviation from normal anatomic contour; limiting instrumental ADL";Edema trunk;10058720;LLT;20,1
1124;C145245;Grade 3 Edema Trunk, CTCAE;"Gross deviation from normal anatomic contour; limiting self care ADL";Grade 3 Edema trunk;"Gross deviation from normal anatomic contour; limiting self care ADL";Edema trunk;10058720;LLT;20,1
1125;C143474;Facial Pain, CTCAE;A disorder characterized by a sensation of marked discomfort in the face.;Facial pain;A disorder characterized by a sensation of marked discomfort in the face.;Facial pain;10016059;LLT;20,1
1126;C144098;Grade 1 Facial Pain, CTCAE;Mild pain;Grade 1 Facial pain;Mild pain;Facial pain;10016059;LLT;20,1
1127;C144658;Grade 2 Facial Pain, CTCAE;"Moderate pain; limiting instrumental ADL";Grade 2 Facial pain;"Moderate pain; limiting instrumental ADL";Facial pain;10016059;LLT;20,1
1128;C145278;Grade 3 Facial Pain, CTCAE;"Severe pain; limiting self care ADL";Grade 3 Facial pain;"Severe pain; limiting self care ADL";Facial pain;10016059;LLT;20,1
1129;C146753;Fatigue, CTCAE 5.0;A disorder characterized by a state of generalized weakness with a pronounced inability to summon sufficient energy to accomplish daily activities.;Fatigue;A disorder characterized by a state of generalized weakness with a pronounced inability to summon sufficient energy to accomplish daily activities.;Fatigue;10016256;LLT;20,1
1130;C55292;Grade 1 Fatigue, CTCAE;Fatigue relieved by rest;Grade 1 Fatigue;Fatigue relieved by rest;Fatigue;10016256;LLT;20,1
1131;C55301;Grade 2 Fatigue, CTCAE;"Fatigue not relieved by rest; limiting instrumental ADL";Grade 2 Fatigue;"Fatigue not relieved by rest; limiting instrumental ADL";Fatigue;10016256;LLT;20,1
1132;C55311;Grade 3 Fatigue, CTCAE;Fatigue not relieved by rest, limiting self care ADL;Grade 3 Fatigue;Fatigue not relieved by rest, limiting self care ADL;Fatigue;10016256;LLT;20,1
1133;C143485;Fever, CTCAE;A disorder characterized by elevation of the body's temperature above the upper limit of normal.;Fever;A disorder characterized by elevation of the body's temperature above the upper limit of normal.;Fever;10016558;LLT;20,1
1134;C144104;Grade 1 Fever, CTCAE;38.0-39.0 degrees C (100.4-102.2 degrees F);Grade 1 Fever;38.0-39.0 degrees C (100.4-102.2 degrees F);Fever;10016558;LLT;20,1
1135;C144665;Grade 2 Fever, CTCAE;>39.0-40.0 degrees C (102.3-104.0 degrees F);Grade 2 Fever;>39.0-40.0 degrees C (102.3-104.0 degrees F);Fever;10016558;LLT;20,1
1136;C145285;Grade 3 Fever, CTCAE;>40.0 degrees C (>104.0 degrees F) for <=24 hrs;Grade 3 Fever;>40.0 degrees C (>104.0 degrees F) for <=24 hrs;Fever;10016558;LLT;20,1
1137;C145858;Grade 4 Fever, CTCAE;>40.0 degrees C (>104.0 degrees F) for >24 hrs;Grade 4 Fever;>40.0 degrees C (>104.0 degrees F) for >24 hrs;Fever;10016558;LLT;20,1
1138;C146313;Grade 5 Fever, CTCAE;Death;Grade 5 Fever;Death;Fever;10016558;LLT;20,1
1139;C143492;Flu Like Symptoms, CTCAE;A disorder characterized by a group of symptoms similar to those observed in patients with the flu. It includes fever, chills, body aches, malaise, loss of appetite and dry cough.;Flu like symptoms;A disorder characterized by a group of symptoms similar to those observed in patients with the flu. It includes fever, chills, body aches, malaise, loss of appetite and dry cough.;Flu like symptoms;10016791;LLT;20,1
1140;C144110;Grade 1 Flu Like Symptoms, CTCAE;Mild flu-like symptoms present;Grade 1 Flu like symptoms;Mild flu-like symptoms present;Flu like symptoms;10016791;LLT;20,1
1141;C144671;Grade 2 Flu Like Symptoms, CTCAE;"Moderate symptoms; limiting instrumental ADL";Grade 2 Flu like symptoms;"Moderate symptoms; limiting instrumental ADL";Flu like symptoms;10016791;LLT;20,1
1142;C145291;Grade 3 Flu Like Symptoms, CTCAE;"Severe symptoms; limiting self care ADL";Grade 3 Flu like symptoms;"Severe symptoms; limiting self care ADL";Flu like symptoms;10016791;LLT;20,1
1143;C143496;Gait Disturbance, CTCAE;A disorder characterized by walking difficulties.;Gait disturbance;A disorder characterized by walking difficulties.;Gait disturbance;10017577;LLT;20,1
1144;C144113;Grade 1 Gait Disturbance, CTCAE;Mild change in gait (e.g., wide-based, limping or hobbling);Grade 1 Gait disturbance;Mild change in gait (e.g., wide-based, limping or hobbling);Gait disturbance;10017577;LLT;20,1
1145;C144675;Grade 2 Gait Disturbance, CTCAE;"Moderate change in gait (e.g., wide-based, limping or hobbling); assistive device indicated; limiting instrumental ADL";Grade 2 Gait disturbance;"Moderate change in gait (e.g., wide-based, limping or hobbling); assistive device indicated; limiting instrumental ADL";Gait disturbance;10017577;LLT;20,1
1146;C145296;Grade 3 Gait Disturbance, CTCAE;Limiting self care ADL;Grade 3 Gait disturbance;Limiting self care ADL;Gait disturbance;10017577;LLT;20,1
1147;C143513;General Disorders and Administration Site Conditions - Other, Specify, CTCAE;;General disorders and administration site conditions - Other, specify;;General disorders and administration site conditions - Other, specify;10018065;LLT;20,1
1148;C144125;Grade 1 General Disorders and Administration Site Conditions - Other, Specify, CTCAE;"Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated";Grade 1 General disorders and administration site conditions - Other, specify;"Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated";General disorders and administration site conditions - Other, specify;10018065;LLT;20,1
