MedDRA Code,MedDRA SOC,CTCAE Term,Grade 1   ,Grade 2   ,Grade 3   ,Grade 4   ,Grade 5   ,Definition,Navigational Note,CTCAE v5.0 Change
10065732,Gastrointestinal disorders,Jejunal obstruction,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; altered GI function; limiting instrumental ADL,Hospitalization indicated; invasive intervention indicated; limiting self care ADL,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by blockage of the normal flow of the intestinal contents in the jejunum.,,Clarification: Grade 3
10023174,Gastrointestinal disorders,Jejunal perforation, -,Invasive intervention not indicated,Invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a rupture in the jejunal wall.,,"Clarification: Grade 2, 3"
10023176,Gastrointestinal disorders,Jejunal stenosis,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; altered GI function,Severely altered GI function; tube feeding or hospitalization indicated; elective operative intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a narrowing of the lumen of the jejunum.,,
10023177,Gastrointestinal disorders,Jejunal ulcer,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; altered GI function,Severely altered GI function; TPN indicated; elective invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,"A disorder characterized by a circumscribed, erosive lesion on the mucosal surface of the jejunum.",,"Clarification: Grade 3, Definition"
10024561,Gastrointestinal disorders,Lip pain,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,A disorder characterized by a sensation of marked discomfort of the lip.,,
10051746,Gastrointestinal disorders,Lower gastrointestinal hemorrhage,Mild symptoms; intervention not indicated,Moderate symptoms; intervention indicated,Transfusion indicated; invasive intervention indicated; hospitalization,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by bleeding from the lower gastrointestinal tract (small intestine, large intestine, and anus).",,"Clarification: Grade 1, 2, 3"
10025476,Gastrointestinal disorders,Malabsorption, -,Altered diet; oral intervention indicated,Inability to aliment adequately; TPN indicated,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by inadequate absorption of nutrients in the small intestine. Symptoms include abdominal marked discomfort, bloating and diarrhea.",,
10028130,Gastrointestinal disorders,Mucositis oral,Asymptomatic or mild symptoms; intervention not indicated,Moderate pain or ulcer that does not interfere with oral intake; modified diet indicated,Severe pain; interfering with oral intake,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by ulceration or inflammation of the oral mucosal.,,"Clarification: Grade 2, Definition"
10028813,Gastrointestinal disorders,Nausea,Loss of appetite without alteration in eating habits,"Oral intake decreased without significant weight loss, dehydration or malnutrition","Inadequate oral caloric or fluid intake; tube feeding, TPN, or hospitalization indicated", -, -,A disorder characterized by a queasy sensation and/or the urge to vomit.,,
10029957,Gastrointestinal disorders,Obstruction gastric,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; altered GI function; limiting instrumental ADL,Hospitalization indicated; invasive intervention indicated; limiting self care ADL,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by blockage of the normal flow of the contents in the stomach.,,Clarification: Grade 3
10065720,Gastrointestinal disorders,Oral cavity fistula,Asymptomatic,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between the oral cavity and another organ or anatomic site.,,"Clarification: Grade 1, 2, 3"
10054520,Gastrointestinal disorders,Oral dysesthesia,Mild discomfort; not interfering with oral intake,Moderate pain; interfering with oral intake,Disabling pain; tube feeding or TPN indicated, -, -,"A disorder characterized by a burning or tingling sensation on the lips, tongue or entire mouth.",,Clarification: Grade 3
10030980,Gastrointestinal disorders,Oral hemorrhage,Mild symptoms; intervention not indicated,Moderate symptoms; intervention indicated,Transfusion indicated; invasive intervention indicated; hospitalization,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by bleeding from the mouth.,,"Clarification: Grade 1, 2, 3"
10031009,Gastrointestinal disorders,Oral pain,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,"A disorder characterized by a sensation of marked discomfort in the mouth, tongue or lips.",,
10065703,Gastrointestinal disorders,Pancreatic duct stenosis,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; altered GI function,Severely altered GI function; tube feeding or hospitalization indicated; elective operative intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a narrowing of the lumen of the pancreatic duct.,,
10049192,Gastrointestinal disorders,Pancreatic fistula,Asymptomatic,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between the pancreas and another organ or anatomic site.,,"Clarification: Grade 1, 2, 3, 4"
10033626,Gastrointestinal disorders,Pancreatic hemorrhage,Mild symptoms; intervention not indicated,Moderate symptoms; intervention indicated,Transfusion indicated; invasive intervention indicated; hospitalization,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by bleeding from the pancreas.,,"Clarification: Grade 1, 2, 3"
10058096,Gastrointestinal disorders,Pancreatic necrosis, -, -,Tube feeding or TPN indicated; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a necrotic process occurring in the pancreas.,,Clarification: Grade 3
10033645,Gastrointestinal disorders,Pancreatitis, -,Enzyme elevation; radiologic findings only,"Severe pain; vomiting; medical intervention indicated (e.g., analgesia, nutritional support)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by inflammation of the pancreas with no documented pancreas infection.,,"Clarification: Grade 2, Definition"
10034536,Gastrointestinal disorders,Periodontal disease,Gingival recession or gingivitis; limited bleeding on probing; mild local bone loss,Moderate gingival recession or gingivitis; multiple sites of bleeding on probing; moderate bone loss,Spontaneous bleeding; severe bone loss with or without tooth loss; osteonecrosis of maxilla or mandible, -, -,A disorder in the gingival tissue around the teeth.,,
10065704,Gastrointestinal disorders,Peritoneal necrosis, -, -,Tube feeding or TPN indicated; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a necrotic process occurring in the peritoneum.,,Clarification: Grade 3
10036774,Gastrointestinal disorders,Proctitis,"Rectal discomfort, intervention not indicated","Symptomatic (e.g., rectal discomfort, passing blood or mucus); medical intervention indicated; limiting instrumental ADL",Severe symptoms; fecal urgency or stool incontinence; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by inflammation of the rectum.,,Clarification: Grade 2
10064993,Gastrointestinal disorders,Rectal fissure,Asymptomatic,Symptomatic,Invasive intervention indicated, -, -,A disorder characterized by a tear in the lining of the rectum.,,Addition: Term
10038062,Gastrointestinal disorders,Rectal fistula,Asymptomatic,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between the rectum and another organ or anatomic site.,,"Clarification: Grade 1, 2, 3"
10038064,Gastrointestinal disorders,Rectal hemorrhage,Mild symptoms; intervention not indicated,Moderate symptoms; intervention indicated,Transfusion indicated; invasive intervention indicated; hospitalization,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by bleeding from the rectal wall and discharged from the anus.,,"Clarification: Grade 1, 2, 3"
10063190,Gastrointestinal disorders,Rectal mucositis,Asymptomatic or mild symptoms; intervention not indicated,Symptomatic; medical intervention indicated; limiting instrumental ADL,Severe symptoms; limiting self care ADL,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by ulceration or inflammation of the mucous membrane of the rectum.,,Clarification: Definition
10065709,Gastrointestinal disorders,Rectal necrosis, -, -,Tube feeding or TPN indicated; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a necrotic process occurring in the rectal wall.,,Clarification: Grade 3
10065707,Gastrointestinal disorders,Rectal obstruction,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; altered GI function; limiting instrumental ADL,Hospitalization indicated; invasive intervention indicated; limiting self care ADL,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by blockage of the normal flow of the intestinal contents in the rectum.,,Clarification: Grade 3
10038072,Gastrointestinal disorders,Rectal pain,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,A disorder characterized by a sensation of marked discomfort in the rectal region.,,
10038073,Gastrointestinal disorders,Rectal perforation, -,Invasive intervention not indicated,Invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a rupture in the rectal wall.,,"Clarification: Grade 2, 3"
10038079,Gastrointestinal disorders,Rectal stenosis,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; altered GI function,Severely altered GI function; tube feeding or hospitalization indicated; elective operative intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a narrowing of the lumen of the rectum.,,
10038080,Gastrointestinal disorders,Rectal ulcer,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic; altered GI function (e.g., altered dietary habits, vomiting, diarrhea)",Severely altered GI function; TPN indicated; elective invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,"A disorder characterized by a circumscribed, erosive lesion on the mucosal surface of the rectum.",,"Clarification: Grade 3, Definition"
10038981,Gastrointestinal disorders,Retroperitoneal hemorrhage, -,Self-limited; intervention indicated,Transfusion indicated; invasive intervention indicated; hospitalization,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by bleeding from the retroperitoneal area.,,Clarification: Grade 3
10056681,Gastrointestinal disorders,Salivary duct inflammation,"Slightly thickened saliva; slightly altered taste (e.g., metallic)","Thick, ropy, sticky saliva; markedly altered taste; alteration in diet indicated; secretion-induced symptoms; limiting instrumental ADL","Acute salivary gland necrosis; severe secretion-induced symptoms (e.g., thick saliva/oral secretions or gagging); tube feeding or TPN indicated; limiting self care ADL",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by inflammation of the salivary duct.,,Clarification: Grade 3
10039411,Gastrointestinal disorders,Salivary gland fistula,Asymptomatic,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between a salivary gland and another organ or anatomic site.,,"Clarification: Grade 1, 2, 3, 4"
10065710,Gastrointestinal disorders,Small intestinal mucositis,Asymptomatic or mild symptoms; intervention not indicated,Symptomatic; medical intervention indicated; limiting instrumental ADL,"Severe pain; interfering with oral intake; tube feeding, TPN or hospitalization indicated; limiting self care ADL",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by ulceration or inflammation of the mucous membrane of the small intestine.,,Clarification: Definition
10041101,Gastrointestinal disorders,Small intestinal obstruction,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; altered GI function; limiting instrumental ADL,Hospitalization indicated; invasive intervention indicated; limiting self care ADL,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by blockage of the normal flow of the intestinal contents of the small intestine.,,"Clarification: Grade 3, Definition"
10041103,Gastrointestinal disorders,Small intestinal perforation, -,Invasive intervention not indicated,Invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a rupture in the small intestine wall.,,"Clarification: Grade 2, 3"
10062263,Gastrointestinal disorders,Small intestinal stenosis,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; altered GI function,"Symptomatic and severely altered GI function; tube feeding, TPN or hospitalization indicated; non-emergent operative intervention indicated",Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a narrowing of the lumen of the small intestine.,,
10041133,Gastrointestinal disorders,Small intestine ulcer,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; altered GI function; limiting instrumental ADL,Severely altered GI function; TPN indicated; elective invasive intervention indicated; limiting self care ADL,Life-threatening consequences; urgent operative intervention indicated,Death,"A disorder characterized by a circumscribed, erosive lesion on the mucosal surface of the small intestine.",,"Clarification: Grade 3, Definition"
10042112,Gastrointestinal disorders,Stomach pain,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,A disorder characterized by a sensation of marked discomfort in the stomach.,,
10044030,Gastrointestinal disorders,Tooth development disorder,Asymptomatic; hypoplasia of tooth or enamel,Impairment correctable with oral surgery,Maldevelopment with impairment not surgically correctable; limiting self care ADL, -, -,A disorder characterized by a pathological process of the teeth occurring during tooth development.,,Clarification: Grade 3
10044031,Gastrointestinal disorders,Tooth discoloration,Surface stains, -, -, -, -,A disorder characterized by a change in tooth hue or tint.,,
10044055,Gastrointestinal disorders,Toothache,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,A disorder characterized by a sensation of marked discomfort in the tooth.,,
10045271,Gastrointestinal disorders,Typhlitis, -, -,"Symptomatic (e.g., abdominal pain, fever, change in bowel habits with ileus); peritoneal signs",Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by necrotizing enterocolitis in neutropenic patients.,Also report Investigations: Neutrophil count decreased,Addition: Navigational note; Clarification: Definition
10055356,Gastrointestinal disorders,Upper gastrointestinal hemorrhage,Mild symptoms; intervention not indicated,Moderate symptoms; intervention indicated,Transfusion indicated; invasive intervention indicated; hospitalization,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by bleeding from the upper gastrointestinal tract (oral cavity, pharynx, esophagus, and stomach).",,"Clarification: Grade 1, 2, 3"
10054692,Gastrointestinal disorders,Visceral arterial ischemia, -,Brief (<24 hrs) episode of ischemia managed medically and without permanent deficit,Prolonged (>=24 hrs) or recurring symptoms and/or invasive intervention indicated,Life-threatening consequences; evidence of end organ damage; urgent operative intervention indicated,Death,A disorder characterized by a decrease in blood supply due to narrowing or blockage of a visceral (mesenteric) artery.,,Primary SOC change
10047700,Gastrointestinal disorders,Vomiting,Intervention not indicated,Outpatient IV hydration; medical intervention indicated,"Tube feeding, TPN, or hospitalization indicated",Life-threatening consequences,Death,A disorder characterized by the reflexive act of ejecting the contents of the stomach through the mouth.,,"Clarification: Grade 1, 2, 3, 4"
10008531,General disorders and administration site conditions,Chills,Mild sensation of cold; shivering; chattering of teeth,Moderate tremor of the entire body; narcotics indicated,"Severe or prolonged, not responsive to narcotics", -, -,A disorder characterized by a sensation of cold that often marks a physiologic response to sweating after a fever.,,
10011912,General disorders and administration site conditions,Death neonatal, -, -, -,Neonatal loss of life, -,Newborn death occurring during the first 28 days after birth.,,Addition: Grade 4; Clarification: Definition; Deletion: Grade 5
10011914,General disorders and administration site conditions,Death NOS, -, -, -, -,Death,Death that cannot be attributed to a CTCAE term associated with Grade 5.,"If death is due to an AE (ex., Cardiac disorders: Cardiac arrest), report as a Grade 5 event under that AE.",Addition: Navigational note; Clarification: Definition
10061818,General disorders and administration site conditions,Disease progression, -, -, -, -,Death,Death due to disease progression that cannot be attributed to a CTCAE term associated with Grade 5.,"If death is due to an AE (ex., Cardiac disorders: Cardiac arrest), report as a Grade 5 event under that AE.","Addition: Term, Navigational note"
10014222,General disorders and administration site conditions,Edema face,Localized facial edema,Moderate localized facial edema; limiting instrumental ADL,Severe swelling; limiting self care ADL, -, -,A disorder characterized by swelling due to excessive fluid accumulation in facial tissues.,,
10050068,General disorders and administration site conditions,Edema limbs,5 - 10% inter-limb discrepancy in volume or circumference at point of greatest visible difference; swelling or obscuration of anatomic architecture on close inspection,>10 - 30% inter-limb discrepancy in volume or circumference at point of greatest visible difference; readily apparent obscuration of anatomic architecture; obliteration of skin folds; readily apparent deviation from normal anatomic contour; limiting instrumental ADL,>30% inter-limb discrepancy in volume; gross deviation from normal anatomic contour; limiting self care ADL, -, -,A disorder characterized by swelling due to excessive fluid accumulation in the upper or lower extremities.,,
10058720,General disorders and administration site conditions,Edema trunk,Swelling or obscuration of anatomic architecture on close inspection,Readily apparent obscuration of anatomic architecture; obliteration of skin folds; readily apparent deviation from normal anatomic contour; limiting instrumental ADL,Gross deviation from normal anatomic contour; limiting self care ADL, -, -,A disorder characterized by swelling due to excessive fluid accumulation in the trunk area.,,
10016059,General disorders and administration site conditions,Facial pain,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,A disorder characterized by a sensation of marked discomfort in the face.,,
10016256,General disorders and administration site conditions,Fatigue,Fatigue relieved by rest,Fatigue not relieved by rest; limiting instrumental ADL,"Fatigue not relieved by rest, limiting self care ADL", -, -,A disorder characterized by a state of generalized weakness with a pronounced inability to summon sufficient energy to accomplish daily activities.,,
10016558,General disorders and administration site conditions,Fever,38.0 - 39.0 degrees C (100.4 - 102.2 degrees F),>39.0 - 40.0 degrees C (102.3 - 104.0 degrees F),>40.0 degrees C (>104.0 degrees F) for <=24 hrs,>40.0 degrees C (>104.0 degrees F) for >24 hrs,Death,A disorder characterized by elevation of the body's temperature above the upper limit of normal.,,
10016791,General disorders and administration site conditions,Flu like symptoms,Mild flu-like symptoms present,Moderate symptoms; limiting instrumental ADL,Severe symptoms; limiting self care ADL, -, -,"A disorder characterized by a group of symptoms similar to those observed in patients with the flu. It includes fever, chills, body aches, malaise, loss of appetite and dry cough.","Synonym: Flu, Influenza",Addition: Navigational note
10017577,General disorders and administration site conditions,Gait disturbance,"Mild change in gait (e.g., wide-based, limping or hobbling)","Moderate change in gait (e.g., wide-based, limping or hobbling); assistive device indicated; limiting instrumental ADL",Limiting self care ADL, -, -,A disorder characterized by walking difficulties.,,Clarification: Grade 3
10018065,General disorders and administration site conditions,"General disorders and administration site conditions - Other, specify",Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death, -,,Clarification: Grade 3
10018112,General disorders and administration site conditions,Generalized edema,Noted on exam; 1+ pitting edema,Interfering with instrumental ADLs; oral therapy initiated,Interferes with self care ADL; intravenous therapy indicated; skin breakdown,Life-threatening consequences, -,A disorder characterized by fluid accumulation in the tissues of the body including the skin.,,Addition: Term
10021113,General disorders and administration site conditions,Hypothermia, -,35 - >32 degrees C; 95 - >89.6 degrees F,32 - >28 degrees C; 89.6 - >82.4 degrees F,"<=28 degrees C; 82.4 degrees F; life-threatening consequences (e.g., coma, hypotension, pulmonary edema, acidemia, ventricular fibrillation)",Death,A disorder characterized by an abnormally low body temperature. Treatment is required when the body temperature is 35C (95F) or below.,,
10064774,General disorders and administration site conditions,Infusion site extravasation,Painless edema,"Erythema with associated symptoms (e.g., edema, pain, induration, phlebitis)",Ulceration or necrosis; severe tissue damage; operative intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by leakage of the infusion into the surrounding tissue. Signs and symptoms may include induration, erythema, swelling, burning sensation and marked discomfort at the infusion site.",,Addition: Grade 1; Clarification: Definition
10022095,General disorders and administration site conditions,Injection site reaction,"Tenderness with or without associated symptoms (e.g., warmth, erythema, itching)",Pain; lipodystrophy; edema; phlebitis,Ulceration or necrosis; severe tissue damage; operative intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an intense adverse reaction (usually immunologic) developing at the site of an injection.,,
10062466,General disorders and administration site conditions,Localized edema,"Localized to dependent areas, no disability or functional impairment",Moderate localized edema and intervention indicated; limiting instrumental ADL,Severe localized edema and intervention indicated; limiting self care ADL, -, -,A disorder characterized by swelling due to excessive fluid accumulation at a specific anatomic site.,"Prior to using this term consider specific edema areas: General disorders and administration site conditions: Edema face, Edema limbs, Edema trunk, or Edema neck; Nervous system disorders: Edema cerebral; Reproductive system and breast disorders: Genital edema; Respiratory, thoracic and mediastinal disorders: Laryngeal edema or Pulmonary edema; Skin and subcutaneous tissue disorders: Periorbital edema; Vascular disorders: Lymphedema",Addition: Navigational note
10025482,General disorders and administration site conditions,Malaise,Uneasiness or lack of well being,Uneasiness or lack of well being limiting instrumental ADL,Uneasiness or lack of well being limiting self-care ADL, -, -,"A disorder characterized by a feeling of general discomfort or uneasiness, an out-of-sorts feeling.",,"Addition: Grade 3, Clarification: Grade 2"
10028154,General disorders and administration site conditions,Multi-organ failure, -, -,Shock with azotemia and acid-base disturbances; significant coagulation abnormalities,"Life-threatening consequences (e.g., vasopressor dependent and oliguric or anuric or ischemic colitis or lactic acidosis)",Death,"A disorder characterized by progressive deterioration of the lungs, liver, kidney and clotting mechanisms.",,
10054482,General disorders and administration site conditions,Neck edema,Asymptomatic localized neck edema,Moderate neck edema; slight obliteration of anatomic landmarks; limiting instrumental ADL,"Generalized neck edema (e.g., difficulty in turning neck); limiting self care ADL",Vascular or respiratory impairment requiring urgent intervention, -,A disorder characterized by swelling due to an accumulation of excessive fluid in the neck.,,Addition: Grade 4
10062501,General disorders and administration site conditions,Non-cardiac chest pain,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,A disorder characterized by a sensation of marked discomfort in the chest unrelated to a heart disorder.,,Clarification: Definition
10033371,General disorders and administration site conditions,Pain,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,"A disorder characterized by the sensation of marked discomfort, distress or agony.",Prior to using this term consider using a specific body part pain term found throughout the CTCAE (over 40 different pain terms).,Addition: Navigational note
10042435,General disorders and administration site conditions,Sudden death NOS, -, -, -, -,Death,An unexpected death that cannot be attributed to a CTCAE term associated with Grade 5.,"If death is due to an AE (ex., Cardiac disorders: Cardiac arrest), report as a Grade 5 event under that AE.",Addition: Navigational note; Clarification: Definition
10069480,General disorders and administration site conditions,Vaccination site lymphadenopathy,Local lymph node enlargement,Localized ulceration; generalized lymph node enlargement, -, -, -,A disorder characterized by lymph node enlargement after vaccination,,Addition: Term
10051341,Hepatobiliary disorders,Bile duct stenosis,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; altered GI function; IV fluids indicated <24 hrs,Severely altered GI function; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a narrowing of the lumen of the bile duct.,,Clarification: Grade 3
10004665,Hepatobiliary disorders,Biliary fistula, -,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between the bile ducts and another organ or anatomic site.,,"Clarification: Grade 2, 3, 4"
10006537,Hepatobiliary disorders,Budd-Chiari syndrome, -,Medical management indicated,Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; asterixis; mild encephalopathy,Life-threatening consequences; moderate to severe encephalopathy; coma,Death,"A disorder characterized by occlusion of the hepatic veins and typically presents with abdominal pain, ascites and hepatomegaly.",,Addition: Term
10008612,Hepatobiliary disorders,Cholecystitis, -,Symptomatic; medical intervention indicated,Severe symptoms; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by inflammation involving the gallbladder. It may be associated with the presence of gallstones.,,Clarification: Grade 3
10017631,Hepatobiliary disorders,Gallbladder fistula,Asymptomatic,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between the gallbladder and another organ or anatomic site.,,"Clarification: Grade 1, 2, 3, 4"
10059446,Hepatobiliary disorders,Gallbladder necrosis, -, -, -,Life-threatening consequences; urgent invasive intervention indicated,Death,A disorder characterized by a necrotic process occurring in the gallbladder.,,Clarification: Grade 4
10017636,Hepatobiliary disorders,Gallbladder obstruction,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; altered GI function; IV fluids indicated <24 hrs,"Symptomatic and severely altered GI function; tube feeding, TPN or hospitalization indicated; non-emergent operative intervention indicated",Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by blockage of the normal flow of the contents of the gallbladder.,,
10017638,Hepatobiliary disorders,Gallbladder pain,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,A disorder characterized by a sensation of marked discomfort in the gallbladder region.,,
10017639,Hepatobiliary disorders,Gallbladder perforation, -, -, -,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a rupture in the gallbladder wall.,,
10019663,Hepatobiliary disorders,Hepatic failure, -, -,Asterixis; mild encephalopathy; drug-induced liver injury (DILI); limiting self care ADL,Life-threatening consequences; moderate to severe encephalopathy; coma,Death,"A disorder characterized by the inability of the liver to metabolize chemicals in the body. Laboratory test results reveal abnormal plasma levels of ammonia, bilirubin, lactic dehydrogenase, alkaline phosphatase, aminotransferase, and/or prolongation of prothrombin time (INR.) Drug-induced liever injury (DILI) as defined by Hy's Law.",,"Clarification: Grade 3, 4, Definition"
10019678,Hepatobiliary disorders,Hepatic hemorrhage,Mild symptoms; intervention not indicated,Moderate symptoms; intervention indicated,Transfusion indicated; invasive intervention indicated; hospitalization,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by bleeding from the liver.,,"Clarification: Grade 1, 2, 3"
10019692,Hepatobiliary disorders,Hepatic necrosis, -, -, -,Life-threatening consequences; urgent invasive intervention indicated,Death,A disorder characterized by a necrotic process occurring in the hepatic parenchyma.,,Clarification: Grade 4
10019705,Hepatobiliary disorders,Hepatic pain,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,A disorder characterized by a sensation of marked discomfort in the liver region.,,
10019805,Hepatobiliary disorders,"Hepatobiliary disorders - Other, specify",Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death, -,,Clarification: Grade 3
10034405,Hepatobiliary disorders,Perforation bile duct, -, -,Invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a rupture in the wall of the extrahepatic or intrahepatic bile duct.,,Clarification: Grade 3
10036200,Hepatobiliary disorders,Portal hypertension, -,Decreased portal vein flow,Reversal/retrograde portal vein flow; associated with varices and/or ascites,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an increase in blood pressure in the portal venous system.,,
10036206,Hepatobiliary disorders,Portal vein thrombosis, -,Intervention not indicated,Medical intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by the formation of a thrombus (blood clot) in the portal vein.,,
10063675,Hepatobiliary disorders,Sinusoidal obstruction syndrome, -,"Blood bilirubin 2-5 mg/dL; minor interventions required (i.e., blood product, diuretic, oxygen)","Blood bilirubin >5 mg/dL; coagulation modifier indicated (e.g., defibrotide); reversal of flow on ultrasound","Life-threatening consequences (e.g., ventilatory support, dialysis, plasmapheresis, peritoneal drainage)",Death,A disorder characterized by severe hepatic injury as a result of the blood vessels of the liver becoming inflamed and/or blocked.,,Addition: Term
10001718,Immune system disorders,Allergic reaction,Systemic intervention not indicated,Oral intervention indicated,Bronchospasm; hospitalization indicated for clinical sequelae; intravenous intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an adverse local or general response from exposure to an allergen.,"If related to infusion, use Injury, poisoning and procedural complications: Infusion related reaction. Do not report both.","Addition: Navigational note; Clarification: Grade 1, 2, 3"
10002218,Immune system disorders,Anaphylaxis, -, -,"Symptomatic bronchospasm, with or without urticaria; parenteral intervention indicated; allergy-related edema/angioedema; hypotension",Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by an acute inflammatory reaction resulting from the release of histamine and histamine-like substances from mast cells, causing a hypersensitivity immune response. Clinically, it presents with breathing difficulty, dizziness, hypotension, cyanosis and loss of consciousness and may lead to death.",,
